State,1990,1995,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Georgia,10.3,8.4,7.8,6.8,6.1,6.5,7.0,7.9,7.0,7.3,6.8,6.0,6.6,7.3,6.6,6.5,NaN,NaN,6.2,6.8,6.9,6.4,6.0,5.1
Hawaii,16.4,15.7,18.9,20.6,19.6,20.8,22.0,22.6,22.6,21.9,20.8,19.1,17.2,17.6,17.6,17.5,16.3,17.7,15.9,15.6,15.3,15.3,14.2,7.4
Idaho,13.9,13.1,12.1,10.8,11.2,11.0,10.9,10.8,10.5,10.1,10.0,9.5,8.9,8.8,8.6,8.2,8.2,8.4,8.2,8.1,7.8,7.8,7.4,7.3
Illinois,8.8,6.9,7.0,6.9,7.2,6.6,6.5,6.2,5.9,6.2,6.1,5.9,5.7,5.7,5.6,5.8,5.4,6.2,5.9,5.8,6.0,5.5,5.2,3.9
Indiana,9.6,8.6,8.1,7.9,7.9,7.9,7.1,7.8,6.9,7.0,7.0,8.0,7.9,6.3,6.8,6.7,6.6,7.1,6.9,6.9,6.9,6.6,6.2,5.8
Iowa,9.0,7.7,7.9,6.9,7.1,7.0,6.9,6.9,6.9,6.7,6.6,6.5,7.0,6.9,6.7,6.8,7.4,6.9,6.3,6.1,6.2,5.7,5.4,4.9
Kansas,9.2,8.5,7.1,8.3,7.5,7.3,6.9,7.0,6.8,6.8,6.8,6.7,6.4,6.4,6.3,6.3,6.0,6.1,5.9,6.2,6.0,5.4,5.3,4.9
Kentucky,13.5,12.2,10.9,9.8,9.0,9.0,9.1,8.8,8.7,8.4,7.8,7.9,7.6,7.4,7.5,7.2,7.3,6.9,7.2,7.4,7.2,6.8,6.3,4.9
Louisiana,9.6,9.3,9.1,9.1,8.4,8.1,8.2,8.0,8.0,NaN,7.5,6.8,7.1,6.9,6.4,5.7,6.4,6.9,6.8,6.1,5.6,5.1,5.1,3.4
Maine,9.7,8.7,8.6,8.8,8.6,8.4,8.4,8.6,8.2,7.8,7.4,7.4,7.1,7.1,7.2,7.3,8.3,7.7,7.6,7.6,7.6,7.4,7.1,5.8
Maryland,9.7,8.4,7.5,7.5,7.0,7.1,6.9,6.9,6.9,6.6,6.5,5.9,5.8,5.7,5.8,5.6,6.8,6.5,6.2,6.3,6.3,5.9,5.6,4.3
Massachusetts,7.9,7.1,6.2,5.8,6.2,5.9,5.6,6.5,6.2,5.9,5.9,5.7,5.6,5.6,5.5,5.5,5.5,5.6,5.5,5.8,5.7,6.3,5.0,4.0
Michigan,8.2,7.3,6.8,6.7,6.7,6.5,6.3,6.2,6.1,5.9,5.7,5.6,5.4,5.5,5.7,5.6,5.8,5.8,6.0,5.9,5.9,5.7,5.2,4.2
