State,1990,1995,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,
Montana,5.1,4.8,2.8,4.2,4.2,4.0,3.9,3.8,4.5,4.4,4.0,4.1,4.0,3.9,4.0,3.9,3.4,3.4,3.4,3.1,3.1,3.0,3.0,2.3,,,,,,
Nebraska,4.0,3.8,3.7,3.7,3.6,3.6,3.4,3.4,3.3,3.4,3.4,3.3,3.4,3.6,3.5,3.4,3.3,3.1,3.2,3.1,3.0,2.9,2.7,2.8,,,,,,
Nevada,11.4,7.8,7.8,9.9,6.3,7.1,7.3,6.3,7.4,6.7,6.4,6.4,6.6,5.9,5.6,5.5,5.1,5.3,4.6,4.3,4.5,4.4,4.2,3.0,,,,,,
New Hampshire,4.7,4.2,5.1,4.8,4.4,4.3,4.1,4.0,3.9,4.1,3.8,3.9,3.7,3.8,3.8,3.6,3.7,3.5,3.3,3.4,3.1,3.1,3.1,2.4,,,,,,
New Jersey,3.0,3.0,3.0,3.0,3.4,3.4,3.2,3.0,2.9,3.0,3.0,3.0,2.7,3.0,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.7,2.5,1.7,,,,,,
New Mexico,4.9,6.6,4.6,5.1,4.9,4.4,5.2,4.6,4.6,4.3,4.2,4.1,3.9,4.0,3.3,3.0,3.4,3.6,3.3,NA,NA,NA,NA,NA,,,,,,
New York,3.2,3.0,3.3,3.0,3.5,3.4,3.2,3.0,2.9,3.1,2.9,2.8,2.6,2.9,2.9,2.9,2.7,2.8,2.7,2.7,2.7,2.8,2.9,1.8,,,,,,
North Carolina,5.1,5.0,4.6,4.5,4.6,4.4,4.2,4.2,4.1,4.0,4.0,3.8,3.8,3.8,3.7,3.7,3.4,3.4,3.1,3.2,3.1,3.1,3.1,2.8,,,,,,
North Dakota,3.6,3.4,4.4,3.4,2.9,2.9,2.9,3.1,2.9,3.0,2.9,2.9,2.8,3.1,2.7,3.1,2.9,2.8,2.8,2.6,2.5,2.6,2.5,2.4,,,,,,
Ohio,4.7,4.3,3.9,4.2,4.0,4.0,3.7,3.6,3.5,3.5,3.4,3.3,3.3,3.4,3.4,3.4,3.3,3.2,3.1,3.0,2.9,2.9,2.8,2.5,,,,,,
Oklahoma,7.7,6.6,NA,NA,NA,NA,NA,4.9,5.6,5.3,5.2,5.3,4.8,5.2,5.2,4.8,4.5,4.5,4.4,4.4,4.1,3.8,3.9,3.5,,,,,,
Oregon,5.5,4.7,4.6,4.8,4.8,4.6,4.3,4.1,4.2,4.0,3.9,3.9,3.9,4.0,3.8,3.8,3.6,3.4,3.4,3.4,3.4,3.4,3.2,2.6,,,,,,
Pennsylvania,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.0,2.3,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.3,,,,,,
Rhode Island,3.7,3.6,2.7,2.9,3.2,3.2,3.1,3.1,3.0,3.0,2.8,2.7,3.0,3.2,3.2,3.2,3.1,2.8,3.0,2.8,2.9,2.9,2.7,1.9,,,,,,
South Carolina,4.5,3.9,3.8,3.8,3.6,3.4,3.3,3.2,2.9,2.9,3.0,2.8,3.0,3.1,3.2,3.2,3.2,2.9,2.8,2.5,2.6,2.5,2.6,2.0,,,,,,
South Dakota,3.7,3.9,3.7,3.5,3.3,3.3,3.0,3.1,2.8,3.2,3.1,3.1,3.3,3.4,3.3,3.0,2.9,2.8,2.6,2.8,2.7,2.6,2.6,2.5,,,,,,
Tennessee,6.5,6.2,5.8,5.9,5.2,5.1,5.0,4.9,4.6,4.6,4.3,4.2,3.9,4.2,4.3,4.2,4.1,3.8,3.7,3.8,3.5,3.5,3.5,3.2,,,,,,
Texas,5.5,5.2,3.8,4.0,4.0,3.9,3.8,3.6,3.3,3.4,3.3,3.3,3.3,3.3,3.2,3.0,2.9,2.7,2.6,2.6,2.2,2.6,2.1,1.5,,,,,,
Utah,5.1,4.4,4.0,4.3,4.2,4.1,4.0,4.1,4.1,3.9,3.7,3.8,3.7,3.7,3.7,3.3,3.1,3.1,3.6,3.6,3.4,3.8,3.5,3.3,,,,,,
Vermont,4.5,4.7,4.4,4.1,4.3,4.2,4.0,3.9,3.6,3.8,3.6,3.6,3.5,3.8,3.6,3.5,3.5,3.5,3.1,3.1,2.9,3.1,2.8,2.1,,,,,,
Virginia,4.4,4.3,4.4,4.3,4.2,4.2,4.0,3.9,4.0,4.0,3.8,3.8,3.7,3.8,3.8,3.7,3.6,3.5,3.3,3.4,3.0,3.1,2.9,2.6,,,,,,
Washington,5.9,5.4,5.0,4.6,4.5,4.6,4.4,4.3,4.3,4.1,4.0,3.9,3.9,4.2,4.1,3.9,3.8,3.6,3.4,3.5,3.4,3.3,2.8,2.8,,,,,,
West Virginia,5.3,5.2,4.9,5.1,5.2,5.2,5.2,5.0,5.1,5.0,5.1,4.8,5.1,5.1,5.2,4.7,4.6,4.2,4.0,3.8,3.5,3.3,3.6,3.1,,,,,,
Wisconsin,3.6,3.4,3.2,3.2,3.2,3.2,3.1,3.0,2.9,3.0,2.9,3.0,2.9,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.4,2.5,2.3,2.0,,,,,,
Wyoming,6.6,6.6,5.7,5.8,5.8,5.4,5.4,5.2,5.2,5.1,4.9,4.9,5.1,5.1,4.8,4.4,4.3,4.6,4.1,4.2,4.0,3.8,3.8,3.8,,,,,,
